id	segment_id	A1_duration	A1_offcount	A1_oncount	A2_duration	A2_offcount	A2_oncount	A3_duration	A3_offcount	A3_oncount	A4_duration	A4_offcount	A4_oncount	A5_duration	A5_offcount	A5_oncount	A6_duration	A6_offcount	A6_oncount	D1_duration	D1_offcount	D1_oncount	D3_duration	D3_offcount	D3_oncount	D4_duration	D4_offcount	D4_oncount	D5_duration	D5_offcount	D5_oncount	D7_duration	D7_offcount	D7_oncount	M2_duration	M2_offcount	M2_oncount	M3_duration	M3_offcount	M3_oncount	M6_duration	M6_offcount	M6_oncount	M7_duration	M7_offcount	M7_oncount	P4_duration	P4_offcount	P4_oncount	P5_duration	P5_offcount	P5_oncount	bass	intervals	m2_duration	m2_offcount	m2_oncount	m3_duration	m3_offcount	m3_oncount	m6_duration	m6_offcount	m6_oncount	m7_duration	m7_offcount	m7_oncount
28	44																																					1/4	1.0	0.0										1/2	1.0	0.0	G	('M3', 'P5', 'm7')										1/4	1.0	0.0
28	45																																		1/4	0.0	1.0	1/4	1.0	0.0										1/2	0.0	1.0	G	('M2', 'M3', 'P5')												
28	46																																					1/4	1.0	0.0										1/2	1.0	0.0	G	('M3', 'P5', 'm7')										1/4	1.0	0.0
28	47																																					3/4	0.3333333333333333	0.6666666666666666				1/8	1.0	0.0				1/8	1.0	0.0	C	('M3', 'M7', 'P5')												
28	48																																														1/4	1.0	0.0				E	('P4', 'm3', 'm6')				1/4	1.0	0.0	1/2	1.0	0.0			
28	49																																					2/7	0.0	1.0	1/7	1.0	0.0							1/7	1.0	0.0	G	('M3', 'M6', 'P5', 'm7')										3/7	1.0	0.0
28	50																																		1/3	0.0	1.0	1/3	0.0	1.0							1/3	0.0	1.0				C	('M2', 'M3', 'P4')												
29	0																																																	1	1.0	0.0	C	('P5',)												
29	1																																																				E	('m3',)				1	1.0	0.0						
29	2																																																				C	()												
29	3																																																				B	('m2',)	1	0.0	1.0									
29	4																									1	0.0	1.0																									G#	('D4',)												
29	5																																																				A	('m3',)				1	0.0	1.0						
29	6																																																				A	('m3',)				1	1.0	0.0						
29	7																																																	1	1.0	0.0	A	('P5',)												
29	8																																					1	1.0	0.0													C	('M3',)												
29	9																																																				A	()												
29	10																																					1	0.0	1.0													F	('M3',)												
29	11																																																				C#	('m6',)							1	0.0	1.0			
29	12																																																	2/3	0.0	1.0	D	('P5', 'm3')				1/3	0.0	1.0						
29	13																																		1/15	1.0	0.0										1/15	0.0	1.0	8/15	1.0	0.0	D	('M2', 'P4', 'P5', 'm3')				1/3	1.0	0.0						
29	14																																					2/11	1.0	0.0							2/11	0.0	1.0	7/11	0.5	0.5	G	('M3', 'P4', 'P5')												
29	15																																					1/4	1.0	0.0										3/4	1.0	0.0	G	('M3', 'P5')												
29	16																																																	1	0.0	1.0	G	('P5',)												
29	17																																																	1	1.0	0.0	G	('P5',)												
29	18																																		1/5	0.0	1.0	7/10	0.5	0.5										1/10	0.0	1.0	C	('M2', 'M3', 'P5')												
29	19																																																				E	('m6',)							1	1.0	0.0			
29	20																																																				E	('m3', 'm6')				1/2	0.0	1.0	1/2	0.0	1.0			
29	21																																																				E	('m3', 'm6')				1/2	1.0	0.0	1/2	1.0	0.0			
29	22																																		1/7	0.0	1.0				5/7	0.5	0.5	1/7	1.0	0.0							F	('M2', 'M6', 'M7')												
29	23																																								1/2	0.0	1.0				1/2	0.0	1.0				G	('M6', 'P4')												
29	24																																					1/2	0.0	1.0										1/2	0.0	1.0	G	('M3', 'P5')												
29	25																																		5/23	0.5	0.5	5/23	0.5	0.5				4/23	0.0	1.0	1/23	0.0	1.0	8/23	0.0	1.0	C	('M2', 'M3', 'M7', 'P4', 'P5')												
29	26																																					1/4	1.0	0.0							1/6	0.0	1.0	7/12	0.0	1.0	G	('M3', 'P4', 'P5')												
29	27																																					1/3	1.0	0.0													G	('M3', 'm7')										2/3	1.0	0.0
29	28																																																	1/2	0.0	1.0	G	('P5', 'm7')										1/2	0.0	1.0
29	29																																																	1/2	1.0	0.0	G	('P5', 'm7')										1/2	1.0	0.0
29	30																																								7/12	0.0	1.0				1/4	1.0	0.0	1/6	0.0	1.0	G	('M6', 'P4', 'P5')												
29	31																																								2/3	1.0	0.0				1/3	1.0	0.0				G	('M6', 'P4')												
29	32																																								1/2	0.0	1.0				1/2	0.0	1.0				G	('M6', 'P4')												
29	33																																								1/2	1.0	0.0				1/2	1.0	0.0				G	('M6', 'P4')												
29	34																																					1/2	0.0	1.0	1/6	0.0	1.0							1/4	1.0	0.0	G	('M3', 'M6', 'P5', 'm7')										1/12	0.0	1.0
29	35																																					2/3	1.0	0.0										1/3	1.0	0.0	G	('M3', 'P5')												
29	36																																																	1/2	0.0	1.0	G	('P5', 'm7')										1/2	0.0	1.0
29	37																																					1	1.0	0.0													G	('M3',)												
29	38																																					1/4	0.0	1.0	1/4	0.0	1.0				1/4	0.0	1.0	1/4	0.0	1.0	G	('M3', 'M6', 'P4', 'P5')												
29	39																																																	1	1.0	0.0	C	('P5',)												
29	40																																																				E	('m3',)				1	1.0	0.0						
29	41																																																				C	()												
29	42																																																				E	('m6',)							1	0.0	1.0			
29	43										1/3	0.0	1.0																						2/3	0.0	1.0																Bb	('A4', 'M2')												
29	44																																																				A	('m3', 'm6')				2/3	0.0	1.0	1/3	0.0	1.0			
29	45																																																				A	('m3', 'm6')				2/3	1.0	0.0	1/3	1.0	0.0			
29	46																																																	1	1.0	0.0	F	('P5',)												
29	47																																																				A	('m3',)				1	1.0	0.0						
29	48																																																				F	()												
29	49																																					2/3	0.0	1.0										1/3	0.0	1.0	F	('M3', 'P5')												
29	50																																					1/2	0.0	1.0													G	('M3', 'm7')										1/2	0.0	1.0
29	51																																		1/3	0.0	1.0							1/3	0.0	1.0	1/3	0.0	1.0				C	('M2', 'M7', 'P4')												
29	52																																					1	0.0	1.0													C	('M3',)												
30	0																																					1	0.0	1.0													C	('M3',)												
30	1																																																				D	('m3',)				1	1.0	0.0						
30	2																																																				E	('m3',)				1	0.0	1.0						
30	3																																																	1	1.0	0.0	C	('P5',)												
30	4																																																				E	('m3',)				1	1.0	0.0						
30	5																																																	1	1.0	0.0	C	('P5',)												
30	6																																					1	0.0	1.0													F	('M3',)												
30	7																																								1	1.0	0.0										D	('M6',)												
30	8																																																	1/2	1.0	0.0	E	('P5', 'm6')							1/2	0.0	1.0			
30	9																																		1	1.0	0.0																C	('M2',)												
30	10																																								1	0.0	1.0										G	('M6',)												
30	11																																					1	1.0	0.0													C	('M3',)												
30	12																																					1	0.0	1.0													C	('M3',)												
30	13																																																				D	('m3',)				1	1.0	0.0						
30	14																																																				E	('m3',)				1	0.0	1.0						
30	15																																																	1	1.0	0.0	C	('P5',)												
30	16																																																				G	()												
30	17																																																				E	('m3',)				1	1.0	0.0						
30	18																																					1	0.0	1.0													F	('M3',)												
30	19																																								1	1.0	0.0										D	('M6',)												
30	20																																																				E	('m6',)							1	0.0	1.0			
30	21																																																				C	()												
30	22																																																				E	('m3',)				1	0.0	1.0						
30	23																																																	1	1.0	0.0	C	('P5',)												
30	24																																																				A	('m3',)				1	0.0	1.0						
30	25																																								1	1.0	0.0										C	('M6',)												
30	26																																					1	0.0	1.0													D	('M3',)												
30	27																																					1	1.0	0.0													D	('M3',)												
30	28																																								1	1.0	0.0										A	('M6',)												
30	29																																					1	1.0	0.0													D	('M3',)												
30	30																																																				B	('m6',)							1	0.0	1.0			
30	31																																								1	1.0	0.0										C	('M6',)												
30	32																																																				B	('m6',)							1	0.0	1.0			
30	33																																								1/2	1.0	0.0				1/2	1.0	0.0				D	('M6', 'P4')												
30	34																																								1	0.0	1.0										G	('M6',)												
30	35																																		1	1.0	0.0																D	('M2',)												
30	36																																																				B	('m3',)				1	0.0	1.0						
30	37																																																				D	()												
30	38																																																				F#	('m6',)							1	0.0	1.0			
30	39																																																				D	()												
30	40																																														1	1.0	0.0				A	('P4',)												
30	41																																																				D	()												
30	42																																					1	0.0	1.0													C	('M3',)												
30	43																																					1	1.0	0.0													D	('M3',)												
30	44																																		4/9	0.0	1.0	2/9	0.0	1.0	1/9	1.0	0.0				2/9	0.0	1.0				G	('M2', 'M3', 'M6', 'P4')												
30	45																																								1	0.0	1.0										E	('M6',)												
30	46																																					1	1.0	0.0													A	('M3',)												
30	47																																								1	1.0	0.0										E	('M6',)												
30	48																																					1	1.0	0.0													A	('M3',)												
30	49																																								1	0.0	1.0										F	('M6',)												
30	50																																								1	1.0	0.0										G	('M6',)												
30	51																																								1	0.0	1.0										F	('M6',)												
30	52																																														1/2	1.0	0.0				A	('P4', 'm6')							1/2	1.0	0.0			
30	53																																																				D	('m6',)							1	0.0	1.0			
30	54																																																				A	('m2',)	1	1.0	0.0									
30	55																																					1	0.0	1.0													F	('M3',)												
30	56																																														1	1.0	0.0				E	('P4',)												
30	57																																								1	0.0	1.0										D	('M6',)												
30	58																																					1	1.0	0.0													G	('M3',)												
30	59																																								1	1.0	0.0										D	('M6',)												
30	60																																					1	1.0	0.0													G	('M3',)												
30	61																																																				E	('m6',)							1	0.0	1.0			
30	62																																								1	1.0	0.0										F	('M6',)												
30	63																																																				E	('m6',)							1	0.0	1.0			
30	64																																								1/2	1.0	0.0				1/2	1.0	0.0				G	('M6', 'P4')												
30	65																																								1	0.0	1.0										C	('M6',)												
30	66																																		1	1.0	0.0																G	('M2',)												
30	67																																																				E	('m3',)				1	0.0	1.0						
30	68																																																				G	()												
30	69																																																				E	('m3',)				1	0.0	1.0						
30	70																																																	1	1.0	0.0	C	('P5',)												
30	71																																																				E	('m3',)				1	1.0	0.0						
30	72																																																	1	1.0	0.0	C	('P5',)												
30	73																																		1	0.0	1.0																G	('M2',)												
30	74																																								1	1.0	0.0										D	('M6',)												
30	75																																																	1/2	1.0	0.0	E	('P5', 'm6')							1/2	0.0	1.0			
30	76																																		1	1.0	0.0																C	('M2',)												
30	77																																								1	0.0	1.0										G	('M6',)												
30	78																																					1	1.0	0.0													C	('M3',)												
30	79																																					1	0.0	1.0													C	('M3',)												
30	80																																																				D	('m3',)				1	1.0	0.0						
30	81																																																				E	('m3',)				1	0.0	1.0						
30	82																																																	1	1.0	0.0	C	('P5',)												
30	83																																																				G	()												
30	84																																																				E	('m3',)				1	1.0	0.0						
30	85																																					1	0.0	1.0													F	('M3',)												
30	86																																					1	1.0	0.0													G	('M3',)												
30	87																																		1/2	0.0	1.0	1/4	0.0	1.0							1/4	0.0	1.0				C	('M2', 'M3', 'P4')												
31	0																																					1/2	0.0	1.0										1/2	0.0	1.0	C	('M3', 'P5')												
31	1																																					7/11	0.5	0.5										4/11	1.0	0.0	C	('M3', 'P5')												
31	2																																					1/2	0.0	1.0										1/2	0.0	1.0	C	('M3', 'P5')												
31	3																																		1/12	1.0	0.0	7/12	0.0	1.0										1/3	1.0	0.0	C	('M2', 'M3', 'P5')												
31	4																																					1	0.0	1.0													C	('M3',)												
31	5																																																				D	('m3', 'm7')				1/2	1.0	0.0				1/2	1.0	0.0
31	6																																																				E	('m3', 'm6')				1/2	0.0	1.0	1/2	0.0	1.0			
31	7																																					1/2	1.0	0.0										1/2	1.0	0.0	F	('M3', 'P5')												
31	8																																																				E	('m3', 'm6')				1/2	0.0	1.0	1/2	0.0	1.0			
31	9																																																				D	('m3', 'm7')				1/2	1.0	0.0				1/2	1.0	0.0
31	10																																		1/5	1.0	0.0	3/5	0.3333333333333333	0.6666666666666666				1/10	1.0	0.0	1/10	1.0	0.0				C	('M2', 'M3', 'M7', 'P4')												
31	11																																					1/2	0.0	1.0	1/2	0.0	1.0										Bb	('M3', 'M6')												
31	12																																					1/2	0.0	1.0										1/2	0.0	1.0	A	('M3', 'P5')												
31	13																																								1/2	1.0	0.0										E	('M6', 'm3')				1/2	1.0	0.0						
31	14													1/2	0.0	1.0																						1/2	0.0	1.0													F	('A5', 'M3')												
31	15										1/2	1.0	0.0																																								G	('A4', 'm3')				1/2	1.0	0.0						
31	16													1/2	0.0	1.0																						1/2	0.0	1.0													F	('A5', 'M3')												
31	17																																								1/2	1.0	0.0										E	('M6', 'm3')				1/2	1.0	0.0						
31	18																																		1/5	1.0	0.0							1/10	1.0	0.0	1/10	1.0	0.0				D	('M2', 'M7', 'P4', 'm3')				3/5	0.3333333333333333	0.6666666666666666						
31	19																												1/3	0.0	1.0																						F#	('D5', 'm3', 'm6')				1/3	0.0	1.0	1/3	0.0	1.0			
31	20																																								1/2	0.0	1.0				1/2	0.0	1.0				G	('M6', 'P4')												
31	21																																								1/2	0.5	0.5				2/5	0.0	1.0				G	('M6', 'P4', 'm7')										1/10	1.0	0.0
31	22																																					1/8	1.0	0.0	1/8	0.0	1.0				1/8	1.0	0.0	1/8	1.0	0.0	G	('M3', 'M6', 'P4', 'P5', 'm7')										1/2	0.0	1.0
31	23																																		1/4	0.0	1.0	1/4	0.0	1.0							1/4	0.0	1.0	1/4	0.5	0.5	C	('M2', 'M3', 'P4', 'P5')												
31	24																																					1/3	0.0	1.0										1/3	0.0	1.0	A	('M3', 'P5', 'm7')										1/3	0.0	1.0
31	25																																					5/16	1.0	0.0										7/16	0.5	0.5	A	('M3', 'P5', 'm7')										1/4	1.0	0.0
31	26																																					1/2	0.0	1.0													A	('M3', 'm7')										1/2	0.0	1.0
31	27																																					1/3	0.0	1.0							1/12	1.0	0.0	1/4	0.0	1.0	A	('M3', 'P4', 'P5', 'm7')										1/3	1.0	0.0
31	28																																					1/2	0.0	1.0										1/2	0.0	1.0	A	('M3', 'P5')												
31	29																																								1/2	1.0	0.0										E	('M6', 'm3')				1/2	1.0	0.0						
31	30													1/2	0.0	1.0																						1/2	0.0	1.0													F	('A5', 'M3')												
31	31										1/2	1.0	0.0																																								G	('A4', 'm3')				1/2	1.0	0.0						
31	32													1/2	0.0	1.0																						1/2	0.0	1.0													F	('A5', 'M3')												
31	33																																								1/2	1.0	0.0										E	('M6', 'm3')				1/2	1.0	0.0						
31	34																																		1/5	1.0	0.0							1/10	1.0	0.0	1/10	1.0	0.0				D	('M2', 'M7', 'P4', 'm3')				3/5	0.3333333333333333	0.6666666666666666						
31	35																1/3	0.0	1.0																			2/3	0.0	1.0													F	('A6', 'M3')												
31	36																																					2/3	0.0	1.0										1/3	0.0	1.0	E	('M3', 'P5')												
31	37																																								2/3	1.0	0.0										B	('M6', 'm3')				1/3	1.0	0.0						
31	38													2/3	0.0	1.0																						1/3	0.0	1.0													C	('A5', 'M3')												
31	39										2/3	1.0	0.0																																								D	('A4', 'm3')				1/3	1.0	0.0						
31	40													2/3	0.0	1.0																						1/3	0.0	1.0													C	('A5', 'M3')												
31	41																																								2/3	1.0	0.0										B	('M6', 'm3')				1/3	1.0	0.0						
31	42																																		2/9	1.0	0.0										1/9	1.0	0.0				A	('M2', 'P4', 'm3')				2/3	0.3333333333333333	0.6666666666666666						
31	43																												1/3	0.0	1.0																						F#	('D5', 'm3', 'm7')				1/3	0.0	1.0				1/3	0.0	1.0
31	44																																								1/2	0.0	1.0				1/2	0.0	1.0				G	('M6', 'P4')												
31	45																																								1/2	0.5	0.5				2/5	0.0	1.0				G	('M6', 'P4', 'm7')										1/10	1.0	0.0
31	46																																					1/8	1.0	0.0	1/8	0.0	1.0				1/8	1.0	0.0	1/8	1.0	0.0	G	('M3', 'M6', 'P4', 'P5', 'm7')										1/2	0.0	1.0
31	47																																		1/3	0.0	1.0	1/3	0.0	1.0							1/3	0.0	1.0				C	('M2', 'M3', 'P4')												
32	0																																					2/5	0.0	1.0	1/5	0.0	1.0							2/5	0.5	0.5	C	('M3', 'M6', 'P5')												
32	1																																					1/2	1.0	0.0										1/2	1.0	0.0	C	('M3', 'P5')												
32	2																																								1/2	0.0	1.0				1/2	0.0	1.0				C	('M6', 'P4')												
32	3																																		1/2	1.0	0.0							1/2	1.0	0.0							C	('M2', 'M7')												
32	4																																		1/14	1.0	0.0	1/2	0.0	1.0				1/14	1.0	0.0	1/14	1.0	0.0	2/7	0.0	1.0	C	('M2', 'M3', 'M7', 'P4', 'P5')												
32	5																																		1/6	0.0	1.0	2/3	0.0	1.0				1/6	1.0	0.0							C	('M2', 'M3', 'M7')												
32	6																																					3/5	0.0	1.0	2/5	0.0	1.0										F	('M3', 'M6')												
32	7																																					2/5	0.0	1.0	1/2	0.5	0.5	1/10	1.0	0.0							F	('M3', 'M6', 'M7')												
32	8																																					1/12	1.0	0.0	1/12	0.0	1.0				1/12	1.0	0.0	5/12	0.5	0.5	G	('M3', 'M6', 'P4', 'P5', 'm7')										1/3	0.0	1.0
32	9																																		1/15	1.0	0.0	3/5	0.5	0.5							1/15	1.0	0.0	4/15	0.0	1.0	C	('M2', 'M3', 'P4', 'P5')												
32	10																																																	1/12	1.0	0.0	E	('P5', 'm3', 'm6', 'm7')				1/3	0.0	1.0	1/2	0.6666666666666666	0.3333333333333333	1/12	0.0	1.0
32	11																																					3/5	0.0	1.0	2/5	0.0	1.0										F	('M3', 'M6')												
32	12																																					2/5	0.0	1.0	1/2	0.5	0.5	1/10	1.0	0.0							F	('M3', 'M6', 'M7')												
32	13																																					1/12	1.0	0.0	1/12	0.0	1.0				1/12	1.0	0.0	5/12	0.5	0.5	G	('M3', 'M6', 'P4', 'P5', 'm7')										1/3	0.0	1.0
32	14																																		1/15	1.0	0.0	11/15	0.6666666666666666	0.3333333333333333							1/15	1.0	0.0	2/15	0.0	1.0	C	('M2', 'M3', 'P4', 'P5')												
32	15																																																	1/8	1.0	0.0	E	('P5', 'm3', 'm6', 'm7')				1/2	0.0	1.0	1/4	1.0	0.0	1/8	0.0	1.0
32	16																																		1/5	0.0	1.0				2/5	0.0	1.0				2/5	0.0	1.0				D	('M2', 'M6', 'P4')												
32	17																																								1	1.0	0.0										D	('M6',)												
32	18																																		1/2	0.0	1.0																D	('M2', 'm7')										1/2	0.0	1.0
32	19																																					1/2	1.0	0.0										1/2	1.0	0.0	D	('M3', 'P5')												
32	20																																		5/14	0.0	1.0	2/7	0.0	1.0				1/14	1.0	0.0	2/7	0.0	1.0				G	('M2', 'M3', 'M7', 'P4')												
32	21																																					1	0.0	1.0													G	('M3',)												
32	22																																					1/2	1.0	0.0													G	('M3', 'm7')										1/2	1.0	0.0
32	23																																					1/2	0.0	1.0													G	('M3', 'm7')										1/2	1.0	0.0
32	24																																					1/2	1.0	0.0										1/2	1.0	0.0	G	('M3', 'P5')												
32	25																																								1/2	0.0	1.0				1/2	0.0	1.0				G	('M6', 'P4')												
32	26																																								1/2	1.0	0.0				1/2	1.0	0.0				G	('M6', 'P4')												
32	27																																					1/2	0.0	1.0										1/2	0.0	1.0	G	('M3', 'P5')												
32	28																																					1/4	1.0	0.0							1/4	1.0	0.0	1/2	1.0	0.0	G	('M3', 'P4', 'P5')												
32	29																																					1/2	0.0	1.0										1/2	0.0	1.0	G	('M3', 'P5')												
32	30																																					1/2	1.0	0.0										1/2	1.0	0.0	G	('M3', 'P5')												
32	31																																					1	0.0	1.0													G	('M3',)												
32	32																																					1	1.0	0.0													G	('M3',)												
32	33																																					1	0.0	1.0													G	('M3',)												
32	34																																					1/2	1.0	0.0													G	('M3', 'm7')										1/2	1.0	0.0
32	35																																					1/2	0.0	1.0													G	('M3', 'm7')										1/2	1.0	0.0
32	36																																					1/2	1.0	0.0										1/2	1.0	0.0	G	('M3', 'P5')												
32	37																																								1/2	0.0	1.0				1/2	0.0	1.0				G	('M6', 'P4')												
32	38																																								1/2	1.0	0.0				1/2	1.0	0.0				G	('M6', 'P4')												
32	39																																					1/5	0.0	1.0	3/10	0.3333333333333333	0.6666666666666666				1/5	0.0	1.0	1/5	0.0	1.0	G	('M3', 'M6', 'P4', 'P5', 'm7')										1/10	1.0	0.0
32	40																																					2/5	0.0	1.0	1/5	0.0	1.0							2/5	0.5	0.5	C	('M3', 'M6', 'P5')												
32	41																																					1/2	1.0	0.0										1/2	1.0	0.0	C	('M3', 'P5')												
32	42																																								1/2	0.0	1.0				1/2	0.0	1.0				C	('M6', 'P4')												
32	43																																		1/2	1.0	0.0							1/2	1.0	0.0							C	('M2', 'M7')												
32	44																																		1/14	1.0	0.0	1/2	0.0	1.0				1/14	1.0	0.0	1/14	1.0	0.0	2/7	0.0	1.0	C	('M2', 'M3', 'M7', 'P4', 'P5')												
32	45																																					1/2	0.0	1.0							1/2	1.0	0.0				C	('M3', 'P4')												
32	46																																		1/2	1.0	0.0																D	('M2', 'm3')				1/2	1.0	0.0						
32	47																																					2/5	0.0	1.0	1/5	0.0	1.0							2/5	0.5	0.5	C	('M3', 'M6', 'P5')												
32	48																																								1	1.0	0.0										G	('M6',)												
32	49																																		1/2	0.0	1.0																G	('M2', 'm7')										1/2	0.0	1.0
32	50																																					1/2	1.0	0.0										1/2	1.0	0.0	G	('M3', 'P5')												
32	51																																					1	0.0	1.0													C	('M3',)												
32	52																																																				C	()												
33	0																																																				C	()												
33	1																																																				E	('m3', 'm6')				1/3	0.0	1.0	2/3	0.0	1.0			
33	2																																																				E	('m3', 'm6')				1/3	0.0	1.0	2/3	0.0	1.0			
33	3										1/3	0.0	1.0																						1/3	0.0	1.0													1/3	0.0	1.0	F	('A4', 'M2', 'P5')												
33	4																																					2/5	0.0	1.0	1/10	1.0	0.0	1/10	1.0	0.0				2/5	1.0	0.0	F	('M3', 'M6', 'M7', 'P5')												
33	5																																					1	0.0	1.0													G	('M3',)												
33	6																																					1	0.0	1.0													G	('M3',)												
33	7																																					1	0.0	1.0													G	('M3',)												
33	8																																																				A	('m3', 'm6')				1/2	0.0	1.0	1/2	0.0	1.0			
33	9										1/12	1.0	0.0																																					1/2	0.3333333333333333	0.6666666666666666	A	('A4', 'P5', 'm3')				5/12	1.0	0.0						
33	10																																					1	0.0	1.0													F	('M3',)												
33	11																																					2/3	0.0	1.0										1/3	0.0	1.0	F	('M3', 'P5')												
33	12																																								1/4	0.0	1.0				1/2	0.0	1.0				E	('M6', 'P4', 'm3')				1/4	0.0	1.0						
33	13																																																	2/3	0.0	1.0	D	('P5', 'm3')				1/3	0.0	1.0						
33	14																																		1/9	1.0	0.0	2/3	1.0	0.0	2/9	1.0	0.0										F	('M2', 'M3', 'M6')												
33	15																												1/12	1.0	0.0																						F#	('D5', 'm3', 'm6', 'm7')				2/3	0.5	0.5	1/6	1.0	0.0	1/12	0.0	1.0
33	16																																					7/8	0.0	1.0										1/8	1.0	0.0	G	('M3', 'P5')												
33	17																																					1/3	0.0	1.0	1/6	0.0	1.0							1/6	1.0	0.0	D	('M3', 'M6', 'P5', 'm7')										1/3	0.0	1.0
33	18																																					1	0.0	1.0													G	('M3',)												
33	19																																								1/2	1.0	0.0										G	('M6', 'm7')										1/2	0.5	0.5
33	20																																																				B	('m3',)				1	0.0	1.0						
33	21																																																	1	0.0	1.0	G	('P5',)												
33	22																																																				B	('m3', 'm6', 'm7')				1/2	0.0	1.0	1/4	1.0	0.0	1/4	0.0	1.0
33	23																																					4/7	0.0	1.0										3/7	0.0	1.0	C	('M3', 'P5')												
33	24																																								1	0.0	1.0										G	('M6',)												
33	25																																					3/4	0.6666666666666666	0.3333333333333333							1/4	0.5	0.5				C	('M3', 'P4')												
33	26																																														1/4	0.0	1.0				B	('P4', 'm3')				3/4	0.5	0.5						
33	27																																																	1	0.5	0.5	G	('P5',)												
33	28																																																				B	('m3', 'm6', 'm7')				1/2	0.0	1.0	1/4	1.0	0.0	1/4	0.0	1.0
33	29																																					1/2	0.0	1.0	1/8	1.0	0.0	1/8	1.0	0.0				1/4	0.0	1.0	C	('M3', 'M6', 'M7', 'P5')												
33	30				1/5	1.0	0.0																												1/5	1.0	0.0	2/5	0.5	0.5				1/5	1.0	0.0							C	('A2', 'M2', 'M3', 'M7')												
33	31																																																				E	('m3',)				1	0.0	1.0						
33	32																																																				E	('m3', 'm6')				1/3	0.0	1.0	2/3	0.0	1.0			
33	33																												1/3	0.0	1.0										1/3	0.0	1.0										E	('D5', 'M6', 'm3')				1/3	0.0	1.0						
33	34																																								1/2	0.0	1.0				1/2	0.0	1.0				F	('M6', 'P4')												
33	35																																					2/5	0.0	1.0	1/2	1.0	0.0	1/10	1.0	0.0							F	('M3', 'M6', 'M7')												
33	36																																					3/4	0.0	1.0										1/4	1.0	0.0	G	('M3', 'P5')												
33	37																																					1	0.0	1.0													G	('M3',)												
33	38																																					1/2	0.0	1.0										1/2	0.0	1.0	G	('M3', 'P5')												
33	39																																					1/2	0.0	1.0										1/2	0.0	1.0	C	('M3', 'P5')												
33	40																																																				C	()												
34	0																																																				E	('m3', 'm6')				1/2	1.0	0.0	1/2	0.0	1.0			
34	1																																								1/2	1.0	0.0				1/2	1.0	0.0				D	('M6', 'P4')												
34	2																																																				E	('m3', 'm6')				1/2	1.0	0.0	1/2	0.0	1.0			
34	3																																																				B	('m3', 'm6')				1/2	1.0	0.0	1/2	1.0	0.0			
34	4																																					1/2	0.0	1.0										1/2	1.0	0.0	C	('M3', 'P5')												
34	5																																																	1	1.0	0.0	G	('P5',)												
34	6																																																				E	('m3', 'm6')				1/2	1.0	0.0	1/2	0.0	1.0			
34	7																																								1/2	1.0	0.0				1/2	1.0	0.0				D	('M6', 'P4')												
34	8																																																				E	('m3', 'm6')				1/2	1.0	0.0	1/2	0.0	1.0			
34	9																																																				B	('m3', 'm6')				1/2	1.0	0.0	1/2	1.0	0.0			
34	10																																					1/2	0.0	1.0										1/2	1.0	0.0	C	('M3', 'P5')												
34	11																																																				E	('m3', 'm6')				1/2	1.0	0.0	1/2	1.0	0.0			
34	12																																					1/2	1.0	0.0	1/2	0.0	1.0										F	('M3', 'M6')												
34	13																																								1/2	1.0	0.0				1/2	1.0	0.0				E	('M6', 'P4')												
34	14																																					1/2	1.0	0.0	1/2	0.0	1.0										F	('M3', 'M6')												
34	15																																																				C#	('m3', 'm6')				1/2	1.0	0.0	1/2	1.0	0.0			
34	16																																																	1/2	1.0	0.0	D	('P5', 'm3')				1/2	0.0	1.0						
34	17																																					1/2	1.0	0.0	1/2	1.0	0.0										F	('M3', 'M6')												
34	19																																					1/5	0.5	0.5	1/5	0.0	1.0				2/15	0.0	1.0	4/15	1.0	0.0	G	('M3', 'M6', 'P4', 'P5', 'm7')										1/5	1.0	0.0
34	20																																																				E	('m3', 'm6')				1/2	1.0	0.0	1/2	0.0	1.0			
34	21																																								1/2	1.0	0.0				1/2	1.0	0.0				D	('M6', 'P4')												
34	22																																																				E	('m3', 'm6')				1/2	1.0	0.0	1/2	0.0	1.0			
34	23																																																				B	('m3', 'm6')				1/2	1.0	0.0	1/2	1.0	0.0			
34	24																																					1/2	0.0	1.0										1/2	1.0	0.0	C	('M3', 'P5')												
34	25																																																	1	1.0	0.0	G	('P5',)												
34	26																																																				E	('m3', 'm6')				1/2	1.0	0.0	1/2	0.0	1.0			
34	27																																								1/2	1.0	0.0				1/2	1.0	0.0				D	('M6', 'P4')												
34	28																																																				E	('m3', 'm6')				1/2	1.0	0.0	1/2	0.0	1.0			
34	29																																																				B	('m3', 'm6')				1/2	1.0	0.0	1/2	1.0	0.0			
34	30																																					1/2	0.0	1.0										1/2	1.0	0.0	C	('M3', 'P5')												
34	31																																																				E	('m3', 'm6')				1/2	1.0	0.0	1/2	1.0	0.0			
34	32																																					4/17	0.5	0.5	3/17	0.0	1.0	1/17	1.0	0.0	2/17	0.0	1.0	4/17	0.6666666666666666	0.3333333333333333	D	('M3', 'M6', 'M7', 'P4', 'P5', 'm7')										3/17	1.0	0.0
34	33																																		1/4	0.0	1.0	1/4	0.0	1.0				1/4	0.0	1.0	1/4	0.0	1.0				G	('M2', 'M3', 'M7', 'P4')												
34	34										1/6	1.0	0.0																									1/4	1.0	0.0	1/12	1.0	0.0							7/24	0.25	0.75	G	('A4', 'M3', 'M6', 'P5', 'm7')										5/24	0.25	0.75
